Room Code,Room Name,Floor Level,Zone / Wing,Design Ti (°C),Length (m),Width (m),Height (m),Ext Wall (m),U-Wall,Window Area (m2),Window Specification,Floor Area (m2),U-Floor,Ceiling Area (m2),Ceiling Specification,Base Construction,Chimney Flue,Windows Doors,Floor Boundary,Ceiling Boundary,Wall Type,Floor Type,Radiator Type,Rad Size,Pipework,Notes
GF-11,Side Entrance Hall,Ground Floor,Lean to West,18.0,2.0,2.0,2.6,4.0,2.2,1.8,Single Glazed (Historic Timber Sash / Casement),4.0,1.1,4.0,Uninsulated Sloping Roof / Lean-to (Lath & Plaster to Rafters),Standard Historic (Solid Masonry),No Chimney / Permanently Sealed,Original Loose Sash / Casement (Undraughted),Suspended Timber (Unsealed Boards over Cold Void),Sloping Roof / Exposed Eaves / Thatched Ridge,Solid Masonry,Standard,Type 22,600x1000,15mm copper,Side entrance lobby (2.0m x 2.0m). External door with single glazing / draught seals. | Construction: Solid Masonry | Rad: Type 22 600x1000 (15mm copper)
FF-01,Upper Stair Landing & Main Gallery,First Floor,Georgian end,18.0,6.25,4.5,2.8,10.75,1.4,6.0,Single Glazed (Historic Timber Sash / Casement),28.1,0.0,28.1,Modern Building Regs Loft: 270-300mm (Mineral Wool),Standard Historic (Solid Masonry),No Chimney / Permanently Sealed,Original Loose Sash / Casement (Undraughted),Solid Concrete Slab / Insulated Floor,Insulated Loft (Sealed Plaster & Sealed Hatch),Solid Masonry,Standard,Type 22,600x1000,15mm copper,Connects with GF-01 hall. Ceiling below insulated attic. | Construction: Solid Masonry | Rad: Type 22 600x1000 (15mm copper)
FF-02,First Floor East Corridor,First Floor,Thatched gable ended,18.0,12.0,1.8,2.6,12.0,1.8,3.0,Single Glazed (Historic Timber Sash / Casement),21.6,0.0,21.6,Historic Thatched Roof (Straw / Reed Thatch),Standard Historic (Solid Masonry),No Chimney / Permanently Sealed,Original Loose Sash / Casement (Undraughted),Solid Concrete Slab / Insulated Floor,Sloping Roof / Exposed Eaves / Thatched Ridge,Solid Masonry,Standard,Type 22,600x1000,15mm copper,Internal corridor with external end wall. Long pipe run access in floor void. | Construction: Solid Masonry | Rad: Type 22 600x1000 (15mm copper)
FF-03,Master Bedroom,First Floor,Georgian end,18.0,6.25,5.5,2.8,11.75,1.4,5.8,Single Glazed (Historic Timber Sash / Casement),34.4,0.0,34.4,Modern Building Regs Loft: 270-300mm (Mineral Wool),Standard Historic (Solid Masonry),No Chimney / Permanently Sealed,Retrofitted Brush / Pile Draught Seals,Solid Concrete Slab / Insulated Floor,Insulated Loft (Sealed Plaster & Sealed Hatch),Solid Masonry,Standard,Type 22,600x1000,15mm copper,Dual aspect windows. Large Type 22 radiator recommended. | Construction: Solid Masonry | Rad: Type 22 600x1000 (15mm copper)
FF-04,Master En-Suite Bathroom,First Floor,Georgian end,22.0,4.5,3.0,2.8,4.5,1.4,1.8,Single Glazed (Historic Timber Sash / Casement),13.5,0.0,13.5,Modern Building Regs Loft: 270-300mm (Mineral Wool),Standard Historic (Solid Masonry),No Chimney / Permanently Sealed,Retrofitted Brush / Pile Draught Seals,Solid Concrete Slab / Insulated Floor,Attic Downlights / Unsealed Loft Hatch,Solid Masonry,Standard,Type 22,600x1000,15mm copper,CIBSE 22°C design temp. Underfloor heating mat or high-output towel radiator. | Construction: Solid Masonry | Rad: Type 22 600x1000 (15mm copper)
FF-05,Bedroom 2 (Guest Suite),First Floor,New build,18.0,5.5,5.0,2.6,10.5,0.22,4.2,"Modern Double Glazing (Argon, Low-E, Warm Edge)",27.5,0.0,27.5,Modern Building Regs Loft: 270-300mm (Mineral Wool),New Build (Cavity / Insulated),No Chimney / Permanently Sealed,Modern High-Performance (Compression Gaskets),Solid Concrete Slab / Insulated Floor,Insulated Loft (Sealed Plaster & Sealed Hatch),Solid Masonry,Standard,Type 22,600x1000,15mm copper,New build high insulation section. Modest emitter sizing needed. | Construction: Solid Masonry | Rad: Type 22 600x1000 (15mm copper)
FF-06,Bedroom 2 En-Suite,First Floor,New build,22.0,3.0,2.5,2.6,3.0,0.22,1.2,"Modern Double Glazing (Argon, Low-E, Warm Edge)",7.5,0.0,7.5,Modern Building Regs Loft: 270-300mm (Mineral Wool),New Build (Cavity / Insulated),No Chimney / Permanently Sealed,Modern High-Performance (Compression Gaskets),Solid Concrete Slab / Insulated Floor,Insulated Loft (Sealed Plaster & Sealed Hatch),Solid Masonry,Standard,Type 22,600x1000,15mm copper,Warm 22°C design requirement. Extract fan with backdraught shutter. | Construction: Solid Masonry | Rad: Type 22 600x1000 (15mm copper)
FF-07,Bedroom 3,First Floor,Thatched gable ended,18.0,5.5,4.5,2.6,10.0,1.8,3.8,Single Glazed (Historic Timber Sash / Casement),24.8,0.0,24.8,Historic Thatched Roof (Straw / Reed Thatch),Standard Historic (Solid Masonry),No Chimney / Permanently Sealed,Original Loose Sash / Casement (Undraughted),Solid Concrete Slab / Insulated Floor,Sloping Roof / Exposed Eaves / Thatched Ridge,Solid Masonry,Standard,Type 22,600x1000,15mm copper,Dormer window and sloping ceiling. Ensure loft insulation reaches eaves. | Construction: Solid Masonry | Rad: Type 22 600x1000 (15mm copper)
FF-08,Bedroom 4,First Floor,Thatched gable ended,18.0,5.0,4.5,2.6,9.5,1.8,3.5,Single Glazed (Historic Timber Sash / Casement),22.5,0.0,22.5,Historic Thatched Roof (Straw / Reed Thatch),Standard Historic (Solid Masonry),No Chimney / Permanently Sealed,Original Loose Sash / Casement (Undraughted),Solid Concrete Slab / Insulated Floor,Sloping Roof / Exposed Eaves / Thatched Ridge,Solid Masonry,Standard,Type 22,600x1000,15mm copper,Gable end wall exposed. Internal woodfibre insulation would reduce loss by 60%. | Construction: Solid Masonry | Rad: Type 22 600x1000 (15mm copper)
FF-09,Bedroom 5 / Nursery,First Floor,New build,18.0,4.5,4.0,2.6,8.5,0.22,3.2,"Modern Double Glazing (Argon, Low-E, Warm Edge)",18.0,0.0,18.0,Modern Building Regs Loft: 270-300mm (Mineral Wool),New Build (Cavity / Insulated),No Chimney / Permanently Sealed,Modern High-Performance (Compression Gaskets),Solid Concrete Slab / Insulated Floor,Insulated Loft (Sealed Plaster & Sealed Hatch),Solid Masonry,Standard,Type 22,600x1000,15mm copper,Modern insulated timber/cavity construction. | Construction: Solid Masonry | Rad: Type 22 600x1000 (15mm copper)
FF-10,Family Bathroom,First Floor,Thatched gable ended,22.0,4.0,3.5,2.6,4.0,1.8,2.0,Single Glazed (Historic Timber Sash / Casement),14.0,0.0,14.0,Historic Thatched Roof (Straw / Reed Thatch),Standard Historic (Solid Masonry),No Chimney / Permanently Sealed,Original Loose Sash / Casement (Undraughted),Solid Concrete Slab / Insulated Floor,Sloping Roof / Exposed Eaves / Thatched Ridge,Solid Masonry,Standard,Type 22,600x1000,15mm copper,High target temp (22°C). Needs dedicated radiator plus heated towel rail. | Construction: Solid Masonry | Rad: Type 22 600x1000 (15mm copper)
FF-11,Laundry & Linen Room,First Floor,New build,18.0,3.5,3.0,2.6,3.5,0.22,1.5,"Modern Double Glazing (Argon, Low-E, Warm Edge)",10.5,0.0,10.5,Modern Building Regs Loft: 270-300mm (Mineral Wool),New Build (Cavity / Insulated),No Chimney / Permanently Sealed,Modern High-Performance (Compression Gaskets),Solid Concrete Slab / Insulated Floor,Insulated Loft (Sealed Plaster & Sealed Hatch),Solid Masonry,Standard,Type 22,600x1000,15mm copper,Washing/drying equipment. Internal heat gains help offset space heating. | Construction: Solid Masonry | Rad: Type 22 600x1000 (15mm copper)
FF-12,Dressing Room / Walk-in Robe,First Floor,Georgian end,18.0,4.0,3.0,2.8,4.0,1.4,1.8,Single Glazed (Historic Timber Sash / Casement),12.0,0.0,12.0,Modern Building Regs Loft: 270-300mm (Mineral Wool),Standard Historic (Solid Masonry),No Chimney / Permanently Sealed,Original Loose Sash / Casement (Undraughted),Solid Concrete Slab / Insulated Floor,Insulated Loft (Sealed Plaster & Sealed Hatch),Solid Masonry,Standard,Type 22,600x1000,15mm copper,Fitted wardrobes on external wall create thermal shadowing. Keep background heat. | Construction: Solid Masonry | Rad: Type 22 600x1000 (15mm copper)
FF-13,First Floor Shower Room / WC,First Floor,Thatched gable ended,22.0,3.0,2.5,2.6,3.0,1.8,1.0,Single Glazed (Historic Timber Sash / Casement),7.5,0.0,7.5,Historic Thatched Roof (Straw / Reed Thatch),Standard Historic (Solid Masonry),No Chimney / Permanently Sealed,Original Loose Sash / Casement (Undraughted),Solid Concrete Slab / Insulated Floor,Sloping Roof / Exposed Eaves / Thatched Ridge,Solid Masonry,Standard,Type 22,600x1000,15mm copper,22°C bathroom comfort criteria. Compact high-efficiency emitter. | Construction: Solid Masonry | Rad: Type 22 600x1000 (15mm copper)
